               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.020038,           0.0096706,           0.0076068,              0.9678,             0.98334,             0.98709,             0.89592,            0.011078,           0.0051908,           0.0036542,            0.005215,            0.005215,            0.005215
                  60,            0.019657,           0.0096714,            0.007053,               0.966,             0.98539,             0.98707,             0.89666,            0.011043,           0.0051801,            0.003622,           0.0051325,           0.0051325,           0.0051325
                  61,             0.01949,           0.0095083,           0.0071967,             0.96801,             0.98292,             0.98713,             0.89706,            0.011004,            0.005168,           0.0035886,             0.00505,             0.00505,             0.00505
                  62,            0.019791,           0.0096068,           0.0069778,             0.96729,             0.98353,             0.98701,             0.89702,            0.010986,           0.0051584,           0.0035572,           0.0049675,           0.0049675,           0.0049675
                  63,            0.019527,           0.0095391,            0.007113,              0.9683,             0.98242,             0.98702,             0.89702,            0.010965,           0.0051478,           0.0035294,            0.004885,            0.004885,            0.004885
                  64,            0.019351,           0.0095147,           0.0070146,             0.96733,             0.98309,             0.98691,             0.89758,            0.010935,           0.0051443,            0.003504,           0.0048025,           0.0048025,           0.0048025
                  65,            0.019709,           0.0096743,           0.0069443,             0.96801,              0.9826,             0.98692,             0.89491,            0.011108,           0.0051753,           0.0035057,             0.00472,             0.00472,             0.00472
                  66,             0.01924,           0.0094192,             0.00719,             0.96846,             0.98296,             0.98705,             0.89448,            0.011181,           0.0051801,            0.003496,           0.0046375,           0.0046375,           0.0046375
                  67,             0.01888,           0.0093412,           0.0067539,              0.9699,             0.98129,             0.98705,             0.89448,            0.011184,           0.0051744,           0.0034736,            0.004555,            0.004555,            0.004555
                  68,            0.018966,           0.0092819,           0.0067878,             0.96888,             0.98269,             0.98708,             0.89472,            0.011171,           0.0051665,           0.0034523,           0.0044725,           0.0044725,           0.0044725
                  69,            0.018773,           0.0092756,           0.0065289,             0.96873,             0.98284,             0.98714,             0.89481,            0.011146,           0.0051533,           0.0034335,             0.00439,             0.00439,             0.00439
                  70,            0.018383,           0.0091047,           0.0063997,             0.96849,             0.98296,             0.98717,             0.89532,            0.011117,           0.0051397,           0.0034114,           0.0043075,           0.0043075,           0.0043075
                  71,            0.018012,           0.0090337,           0.0062525,             0.96843,             0.98325,             0.98725,             0.89586,            0.011089,           0.0051254,           0.0033887,            0.004225,            0.004225,            0.004225
                  72,            0.018306,           0.0091439,           0.0065587,              0.9702,             0.98101,              0.9873,             0.89614,            0.011063,            0.005115,           0.0033681,           0.0041425,           0.0041425,           0.0041425
                  73,            0.018312,           0.0092797,           0.0065921,              0.9699,             0.98191,             0.98742,             0.89701,            0.011023,           0.0051012,           0.0033477,             0.00406,             0.00406,             0.00406
                  74,            0.018028,           0.0090907,           0.0061521,             0.97229,              0.9796,             0.98748,              0.8972,            0.010991,           0.0050891,           0.0033273,           0.0039775,           0.0039775,           0.0039775
                  75,             0.01788,           0.0090979,           0.0060857,             0.97136,             0.98091,             0.98751,             0.89773,            0.010961,            0.005079,           0.0033098,            0.003895,            0.003895,            0.003895
                  76,            0.017603,           0.0088992,           0.0060499,             0.97062,             0.98168,             0.98755,             0.89777,            0.010932,           0.0050696,            0.003292,           0.0038125,           0.0038125,           0.0038125
                  77,            0.017639,           0.0090126,           0.0062024,             0.97157,             0.98056,             0.98757,             0.89814,            0.010912,           0.0050608,           0.0032743,             0.00373,             0.00373,             0.00373
                  78,            0.017677,           0.0089599,           0.0062461,             0.97058,             0.98169,             0.98761,             0.89836,            0.010889,           0.0050539,           0.0032582,           0.0036475,           0.0036475,           0.0036475
                  79,             0.01759,           0.0089853,           0.0063858,             0.96702,             0.98603,             0.98765,             0.89884,            0.010871,           0.0050444,            0.003242,            0.003565,            0.003565,            0.003565
                  80,            0.017101,            0.008922,           0.0062179,             0.96828,             0.98471,             0.98768,             0.89919,            0.010854,           0.0050353,           0.0032246,           0.0034825,           0.0034825,           0.0034825
                  81,            0.017316,           0.0088856,           0.0059951,             0.97131,              0.9818,             0.98772,             0.89939,            0.010834,           0.0050271,           0.0032084,              0.0034,              0.0034,              0.0034
                  82,            0.017131,           0.0087566,           0.0058825,             0.97132,             0.98183,             0.98778,             0.89966,            0.010824,           0.0050188,           0.0031914,           0.0033175,           0.0033175,           0.0033175
                  83,            0.017078,           0.0087844,           0.0057223,             0.97112,             0.98219,             0.98782,             0.89992,            0.010804,           0.0050132,           0.0031756,            0.003235,            0.003235,            0.003235
                  84,            0.017104,           0.0087888,           0.0056288,             0.96922,             0.98467,             0.98787,             0.90007,            0.010783,           0.0050045,           0.0031609,           0.0031525,           0.0031525,           0.0031525
                  85,            0.016539,           0.0085592,           0.0053982,             0.97114,             0.98293,             0.98791,             0.90048,            0.010766,           0.0049951,           0.0031458,             0.00307,             0.00307,             0.00307
                  86,            0.016658,           0.0085697,           0.0054353,             0.97106,             0.98339,             0.98791,             0.90066,            0.010755,           0.0049882,           0.0031326,           0.0029875,           0.0029875,           0.0029875
                  87,            0.016294,           0.0084637,           0.0053182,             0.97084,              0.9834,             0.98793,             0.90104,            0.010747,           0.0049808,           0.0031184,            0.002905,            0.002905,            0.002905
                  88,             0.01639,           0.0085374,           0.0055025,             0.97152,             0.98288,             0.98797,             0.90116,            0.010733,           0.0049724,           0.0031031,           0.0028225,           0.0028225,           0.0028225
                  89,            0.016047,           0.0083958,           0.0051827,             0.97123,              0.9834,             0.98799,             0.90129,            0.010715,           0.0049651,           0.0030883,             0.00274,             0.00274,             0.00274
                  90,            0.016017,           0.0084154,           0.0052107,               0.971,             0.98389,             0.98804,              0.9016,            0.010693,           0.0049565,           0.0030734,           0.0026575,           0.0026575,           0.0026575
                  91,            0.015691,           0.0082769,           0.0052021,             0.97126,             0.98391,             0.98808,             0.90188,            0.010679,           0.0049492,           0.0030583,            0.002575,            0.002575,            0.002575
                  92,             0.01571,            0.008323,           0.0049975,             0.97139,             0.98369,             0.98809,             0.90227,            0.010657,           0.0049416,           0.0030423,           0.0024925,           0.0024925,           0.0024925
                  93,              0.0155,           0.0081897,           0.0049012,             0.97126,             0.98371,              0.9881,             0.90237,             0.01064,           0.0049338,           0.0030264,             0.00241,             0.00241,             0.00241
